,Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,SH%,SV%,PDO
1,Montreal Canadiens,82,3985.95,44,30,8,41,96,0.585,4358,3694,54.12,3135,2736,53.4,2303,2016,53.32,188,163,53.56,166.64,141.73,54.04,1936,1678,53.57,158,147,51.8,13.53,85.43,806,701,53.48,108,92,54,18.15,81.82,8.16,91.91,1.001
2,Toronto Maple Leafs,82,4084.4833,46,28,8,46,100,0.61,4396,4102,51.73,3184,3180,50.03,2176,2247,49.2,206,170,54.79,173.56,168.82,50.69,2200,1943,53.1,169,149,53.14,13.65,87.01,830,738,52.93,109,94,53.69,17.96,82.3,9.47,92.43,1.019
3,Boston Bruins,82,3994.0333,49,24,9,47,107,0.652,3867,3420,53.07,2951,2552,53.63,2125,1844,53.54,156,127,55.12,151.63,135.68,52.77,1677,1534,52.23,135,102,56.96,12.63,89.58,671,626,51.73,91,68,57.23,17.33,86.01,7.34,93.11,1.005
4,Washington Capitals,82,3934.5167,48,26,8,44,104,0.634,3713,3859,49.04,2767,2884,48.96,1952,2033,48.98,197,161,55.03,149.98,165.33,47.57,1791,1883,48.75,159,144,52.48,15.76,86.55,678,848,44.43,93,102,47.69,19.62,82.94,10.09,92.08,1.022
5,Calgary Flames,82,3903.1167,50,25,7,50,107,0.652,3946,3384,53.83,2899,2559,53.11,2058,1819,53.08,187,149,55.65,158.09,139.42,53.14,1850,1606,53.53,160,119,57.35,14.27,87.78,745,670,52.65,115,83,58.08,20.39,83.23,9.09,91.81,1.009
6,Vancouver Canucks,82,3956.4167,35,36,11,29,81,0.494,3549,3862,47.89,2648,2866,48.02,1872,2089,47.26,145,175,45.31,134.02,156.59,46.12,1582,1930,45.05,117,148,44.15,13.03,86.95,630,750,45.65,73,97,42.94,16.15,83.22,7.75,91.62,0.994
7,Anaheim Ducks,82,3975.5667,35,37,10,32,80,0.488,3595,3957,47.6,2672,2984,47.24,1845,2068,47.15,136,154,46.9,141.19,170.63,45.28,1652,1937,46.03,112,139,44.62,11.64,88.1,662,815,44.82,78,95,45.09,16.63,84.48,7.37,92.55,0.999
8,San Jose Sharks,82,3996.2833,46,27,9,46,101,0.616,4137,3403,54.87,3020,2514,54.57,2127,1793,54.26,192,185,50.93,174.67,144.62,54.71,1913,1607,54.35,160,155,50.79,14,84.41,831,703,54.17,116,111,51.1,18.77,78.94,9.03,89.68,0.987
9,Buffalo Sabres,82,4030.7167,33,39,10,28,76,0.463,3754,3759,49.97,2913,2934,49.82,2133,2184,49.41,154,185,45.43,143.26,153.3,48.31,1664,1718,49.2,131,162,44.71,12.76,85.31,686,728,48.51,89,97,47.85,17.55,82.36,7.22,91.53,0.987
10,Nashville Predators,82,3908.3,47,29,6,43,100,0.61,3900,3565,52.24,2948,2678,52.4,2133,1951,52.23,164,141,53.77,153.75,146.92,51.13,1757,1682,51.09,140,116,54.69,13.33,89.07,712,704,50.28,92,72,56.1,17.52,86.72,7.69,92.77,1.005
