,0
0,TDLockett12
1,Ebron85
2,VernonDavis85
3,JaredCook89
4,AustinEkeler
5,RyanGrant25
6,Marlon_Mack25
7,CoreyClement_6
8,MattForte22
9,martavis1212
10,MattBreida
11,JordyRNelson
12,Will_Fuller7
13,JDoc_son
14,sterl_shep3
15,samajp32
16,JimmyG_10
17,kelvinbenjamin
18,DeSeanJackson11
19,cjbeathard
20,Air4Cole
21,TeamLee1
22,rcobb18
23,TyrellWilliams_
24,TravisBenjamin3
25,TarikCohen
26,Wallace17_daKid
27,Ameerguapo
28,RBrex34
29,LG_Blount
30,prichiejr
31,robertwoods
32,sammywatkins
33,Mo_12_Sanu
34,TedGinnJr_19
35,Jonathanstewar1
36,G_Bernard25
37,KDx32
38,AmariCooper9
39,JayTrain
40,ChrisThompson_4
41,IsaiahCrowell34
42,jswaggdaddy
43,OrleansDarkwa
44,realbuckallen
45,bilalpowell29
46,bretthundley7
47,KingHenry_2
48,TrevorSiemian
49,JetMckinnon1
50,AaronRodgers12
51,Mtrubisky10
52,deshaunwatson
53,deshonekizer
54,JoeFlacco
55,Jaboowins
56,JoshMcCown12
57,derekcarrqb
58,JBrissett12
59,andydalton14
60,andydalton14
61,TyrodTaylor
62,M_Ryan02
63,casekeenum
64,Alex_Armah
65,Hunter_Henry84
66,JaredGoff16
67,JKearse_15
68,Kroft86
69,marquisegoodwin
70,JasonWitten
71,KingCrab15
72,CooperKupp
73,DeMarcoMurray
74,dak
75,_BigBen7
76,KSTiLLS
77,DezBryant
78,drewbrees
79,TYHilton13
80,DemaryiusT
81,Teco_Raww
82,nelsonagholor
83,DukeJohnson_8
84,LataviusM
85,frankgore
86,delaniewalker82
87,KyleRudolph82
88,cjandersonb22
89,Budda03
90,D_FUNCH
91,MikeEvans13_
92,ShowtimeTate
93,run__cmc
94,KirkCousins8
95,stefondiggs
96,youngamazing9
97,cj_wentz
98,eazyengram
99,TheWorldof_AJ
100,TeamJuJu
101,millertime_6
102,God_Son80
103,devontafreeman
104,DougBaldwinJr
105,tae15adams
106,athielen19
107,TomBrady
108,ajgreen_18
109,LarryFitzgerald
110,Cantguardmike
111,DionLewisRB
112,CameronNewton
113,brandincooks
114,ZERTZ_86
115,elguapo
116,JHowardx24
117,EzekielElliott
118,MarvinJonesJr
119,cheetah
120,Keenan13Allen
121,_fournette
122,tkelce
123,RobGronkowski
124,CutonDime25
125,DangeRussWilson
126,markingram21
127,AB84
128,DeAndreHopkins
129,Melvingordon25
130,A_kamara6
131,Kareemhunt7
132,LeVeonBell
133,TG3II
