Week,Day,Date,Time,Team,,
1,Thu,7-Sep,8:30PM,KAN,,
1,Sun,10-Sep,1:00PM,PIT,,
1,Sun,10-Sep,1:00PM,BAL,,
1,Sun,10-Sep,1:00PM,PHI,,
1,Sun,10-Sep,1:00PM,DET,,
1,Sun,10-Sep,1:00PM,JAX,,
1,Sun,10-Sep,1:00PM,OAK,,
1,Sun,10-Sep,1:00PM,ATL,,
1,Sun,10-Sep,1:00PM,BUF,,
1,Sun,10-Sep,4:05PM,LAR,,
1,Sun,10-Sep,4:25PM,CAR,,
1,Sun,10-Sep,4:25PM,GNB,,
1,Sun,10-Sep,8:30PM,DAL,,
1,Mon,11-Sep,7:10PM,MIN,,
1,Mon,11-Sep,10:20PM,DEN,,
2,Thu,14-Sep,8:25PM,HOU,,
2,Sun,17-Sep,1:00PM,KAN,,
2,Sun,17-Sep,1:00PM,ARI,,
2,Sun,17-Sep,1:00PM,NEW,,
2,Sun,17-Sep,1:00PM,CAR,,
2,Sun,17-Sep,1:00PM,PIT,,
2,Sun,17-Sep,1:00PM,TAM,,
2,Sun,17-Sep,1:00PM,BAL,,
2,Sun,17-Sep,1:00PM,TEN,,
2,Sun,17-Sep,4:05PM,MIA,,
2,Sun,17-Sep,4:05PM,OAK,,
2,Sun,17-Sep,4:25PM,DEN,,
2,Sun,17-Sep,4:25PM,WAS,,
2,Sun,17-Sep,4:25PM,SEA,,
2,Sun,17-Sep,8:30PM,ATL,,
2,Mon,18-Sep,8:30PM,DET,,
3,Thu,21-Sep,8:25PM,LAR,,
3,Sun,24-Sep,9:30AM,JAX,,
3,Sun,24-Sep,1:00PM,NYJ,,
3,Sun,24-Sep,1:00PM,PHI,,
3,Sun,24-Sep,1:00PM,ATL,,
3,Sun,24-Sep,1:00PM,BUF,,
3,Sun,24-Sep,1:00PM,MIN,,
3,Sun,24-Sep,1:00PM,CHI,,
3,Sun,24-Sep,1:00PM,NOR,,
3,Sun,24-Sep,1:00PM,IND,,
3,Sun,24-Sep,1:00PM,NEW,,
3,Sun,24-Sep,4:05PM,TEN,,
3,Sun,24-Sep,4:25PM,KAN,,
